,id,population_mean,region,district,year
13437,831399042,36,43,501794,2019
25805,831487028,9,43,501794,2019
32203,831465669,8,43,501794,2019
38032,831423433,25,43,501794,2019
45056,831444699,-1,43,501794,2019
51629,831444700,1651,43,501794,2019
631,878853914,33,43,501794,2020
10937,878796570,46,43,501794,2020
14655,878805513,48,43,501794,2020
22200,878793461,-18,43,501794,2020
26874,878853917,-20,43,501794,2020
38656,878902424,15,43,501794,2020
40938,878805514,-2,43,501794,2020
48763,878797981,1647,43,501794,2020
5787,831444703,15,43,501841,2019
10317,831465676,46,43,501841,2019
18839,831444704,38,43,501841,2019
20345,831397352,-2,43,501841,2019
27627,831397449,6,43,501841,2019
36095,831465674,13,43,501841,2019
41587,831393586,8,43,501841,2019
48103,831389114,1552,43,501841,2019
5872,878902430,16,43,501841,2020
10971,878801685,54,43,501841,2020
14295,878829639,25,43,501841,2020
25536,878902431,-4,43,501841,2020
26875,878853920,25,43,501841,2020
36870,878733057,12,43,501841,2020
45258,878902432,29,43,501841,2020
51402,878878225,1573,43,501841,2020
6167,831487043,54,43,502146,2019
12710,831487044,119,43,502146,2019
13559,831388216,101,43,502146,2019
20218,831403433,7,43,502146,2019
30059,831465686,25,43,502146,2019
36096,831465684,61,43,502146,2019
42820,831508533,18,43,502146,2019
46658,831403664,4216,43,502146,2019
1666,878805518,50,43,502146,2020
7725,878829645,105,43,502146,2020
14780,878805520,116,43,502146,2020
23710,878790209,-11,43,502146,2020
29950,878788571,-22,43,502146,2020
37138,878733066,39,43,502146,2020
43631,878793354,-11,43,502146,2020
47056,878829646,4250,43,502146,2020
6168,831487049,12,43,502235,2019
10467,831465692,53,43,502235,2019
18840,831444720,51,43,502235,2019
25807,831487051,15,43,502235,2019
26412,831391110,17,43,502235,2019
33518,831380407,27,43,502235,2019
45001,831423454,2,43,502235,2019
51569,831423457,1866,43,502235,2019
5491,878878228,16,43,502235,2020
10615,878795720,65,43,502235,2020
18996,878902438,46,43,502235,2020
25164,878878229,0,43,502235,2020
30147,878795233,19,43,502235,2020
34352,878805523,16,43,502235,2020
42605,878783731,19,43,502235,2020
48840,878791778,1854,43,502235,2020
5789,831444721,7,43,502405,2019
12258,831423458,12,43,502405,2019
18841,831444722,15,43,502405,2019
23130,831508540,0,43,502405,2019
31970,831444723,-3,43,502405,2019
33519,831380415,7,43,502405,2019
43345,831487057,-3,43,502405,2019
49856,831487058,636,43,502405,2019
5873,878902442,12,43,502405,2020
7203,878853924,10,43,502405,2020
14781,878805531,22,43,502405,2020
21338,878805530,-8,43,502405,2020
30530,878784352,-20,43,502405,2020
37139,878733080,4,43,502405,2020
41252,878829655,-12,43,502405,2020
47573,878805533,618,43,502405,2020
155,831402061,22,43,502545,2019
10508,831487060,54,43,502545,2019
13438,831399046,45,43,502545,2019
25352,831423461,2,43,502545,2019
30289,831487061,11,43,502545,2019
33520,831380425,24,43,502545,2019
44996,831423463,9,43,502545,2019
49858,831487063,2497,43,502545,2019
5593,878878234,23,43,502545,2020
10104,878798330,91,43,502545,2020
